dataset,model,features,accuracy,f1,gmean,parameters
full,svm_linear,320,0.6585365853658537,0.5229555236728838,0.47420053890789227,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.5853658536585366,0.48630393996247656,0.4353132130131451,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 200}"
full,knn,320,0.4878048780487805,0.47967479674796754,0.48481230544341647,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.6585365853658537,0.5229555236728838,0.47420053890789227,"{'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 50}"
full,svm_linear,320,0.675,0.5440298507462686,0.4683748498798799,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.625,0.52734375,0.47666762433274623,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 400}"
full,knn,320,0.425,0.4615047233468286,0.591059975341402,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.675,0.5440298507462686,0.4683748498798799,"{'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 800}"
full,svm_linear,320,0.65,0.5121212121212121,0.47696960070847283,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.625,0.5078125,0.4898523830123287,"{'grow_policy': 'depthwise', 'learning_rate': 0.01, 'n_estimators': 800}"
full,knn,320,0.3,0.35516840882694545,0.4498485542985675,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.65,0.5121212121212121,0.47696960070847283,"{'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 400}"
full,svm_linear,320,0.65,0.5121212121212121,0.47696960070847283,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.6,0.5234972677595627,0.5027898358634739,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 50}"
full,knn,320,0.4,0.40588235294117647,0.43449814529215475,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.65,0.5121212121212121,0.47696960070847283,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 400}"
full,svm_linear,320,0.65,0.5121212121212121,0.47696960070847283,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.65,0.5478125,0.5036030891769544,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 200}"
full,knn,320,0.35,0.3687878787878788,0.43745927128715384,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.65,0.5121212121212121,0.47696960070847283,"{'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 1600}"
