dataset,model,features,accuracy,f1,gmean,parameters
full,svm_linear,320,0.6097560975609756,0.4619364375461936,0.4878048780487805,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.5609756097560976,0.5650406504065041,0.5855718923749101,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 100}"
full,knn,320,0.43902439024390244,0.4353717096594736,0.5053991654902952,"{'metric': 'cosine', 'n_neighbors': 5, 'weights': 'distance'}"
full,rf,320,0.6585365853658537,0.5824964131994261,0.6039910392470895,"{'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 200}"
full,svm_linear,320,0.625,0.48076923076923084,0.4841229182759271,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.5,0.47688124306326307,0.5108965899969367,"{'grow_policy': 'depthwise', 'learning_rate': 0.01, 'n_estimators': 200}"
full,knn,320,0.375,0.387037037037037,0.4330541762184379,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.55,0.4435483870967742,0.4365815482540027,"{'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 50}"
full,svm_linear,320,0.6,0.45,0.4898979485566356,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.6,0.5421052631578946,0.555920515044749,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 50}"
full,knn,320,0.325,0.36000000000000004,0.4738499025627526,"{'metric': 'cosine', 'n_neighbors': 5, 'weights': 'distance'}"
full,rf,320,0.6,0.45,0.4898979485566356,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 400}"
full,svm_linear,320,0.6,0.45,0.4898979485566356,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.45,0.41755826859045503,0.4528678457500441,"{'grow_policy': 'depthwise', 'learning_rate': 1, 'n_estimators': 25}"
full,knn,320,0.35,0.3592879256965944,0.4386690729417285,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}"
full,rf,320,0.625,0.5324590163934426,0.5386822546070841,"{'criterion': 'entropy', 'max_features': 'log2', 'n_estimators': 200}"
full,svm_linear,320,0.6,0.45,0.4898979485566356,"{'C': 0.75, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}"
full,xgboost,320,0.5,0.4333333333333333,0.4575209250137056,"{'grow_policy': 'depthwise', 'learning_rate': 0.01, 'n_estimators': 400}"
full,knn,320,0.4,0.42314189189189194,0.525840219560977,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}"
full,rf,320,0.6,0.49245901639344264,0.5216731324717204,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 50}"
