dataset,model,features,accuracy,f1,gmean,parameters
full,svm_linear,320,0.4634146341463415,0.44936120789779327,0.4491393267146455,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.5609756097560976,0.48083623693379784,0.4545172150022813,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 400}"
full,knn,320,0.12195121951219512,0.10675747017210432,0.3286468540054204,"{'metric': 'l2', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.6341463414634146,0.5111030214779759,0.4635360490427459,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 400}"
full,svm_linear,320,0.5,0.5051572327044025,0.5184556511576616,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.55,0.5137931034482759,0.49382944562624187,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 200}"
full,knn,320,0.025,0.045,0.14057489923239153,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'uniform'}"
full,rf,320,0.625,0.52734375,0.47927450339587796,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100}"
full,svm_linear,320,0.6,0.5610950453055715,0.5745980397357533,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.55,0.4934810951760104,0.47704293997828384,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 200}"
full,knn,320,0.15,0.11910052910052908,0.3628967882847249,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 4, 'weights': 'distance'}"
full,rf,320,0.625,0.5,0.46351240544347894,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 800}"
full,svm_linear,320,0.375,0.3611111111111111,0.3527633261631859,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.575,0.5456140350877192,0.5434924406090342,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 50}"
full,knn,320,0.225,0.21809523809523806,0.4321069316453276,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.625,0.5,0.46351240544347894,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 800}"
full,svm_linear,320,0.425,0.43809523809523804,0.470951977865371,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.6,0.5155913978494623,0.47603271196120844,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 100}"
full,knn,320,0.225,0.15165464165464165,0.44734229799891195,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.625,0.5078125,0.4898523830123287,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 1600}"
