dataset,model,features,accuracy,f1,gmean,parameters
full,svm_linear,320,0.45,0.44110423116615066,0.4757933483612687,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.525,0.5134157509157509,0.5215403247543066,"{'grow_policy': 'depthwise', 'learning_rate': 0.01, 'n_estimators': 400}"
full,knn,320,0.325,0.37266744096012394,0.46671028121312935,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.625,0.5692266949152542,0.5467270256837746,"{'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 1600}"
full,svm_linear,320,0.525,0.5118367346938776,0.5476274585275407,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.525,0.5112214498510428,0.5157922708481262,"{'grow_policy': 'depthwise', 'learning_rate': 0.01, 'n_estimators': 800}"
full,knn,320,0.425,0.4581141141141141,0.5614341754233824,"{'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.6,0.5149999999999999,0.5216731324717204,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 400}"
full,svm_linear,320,0.4358974358974359,0.4393162393162393,0.5203837873953239,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.6923076923076923,0.6858974358974359,0.7116349800887273,"{'grow_policy': 'depthwise', 'learning_rate': 0.1, 'n_estimators': 200}"
full,knn,320,0.3076923076923077,0.351413543721236,0.45835286466748193,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.6153846153846154,0.5610859728506787,0.5632694480607172,"{'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 1600}"
full,svm_linear,320,0.46153846153846156,0.4641713513128869,0.48056039420321983,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.5384615384615384,0.5220249835634452,0.5186844229124219,"{'grow_policy': 'depthwise', 'learning_rate': 1, 'n_estimators': 25}"
full,knn,320,0.28205128205128205,0.2543693312924082,0.4581325285674087,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.5641025641025641,0.5023616734143049,0.49451770436696735,"{'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 200}"
full,svm_linear,320,0.4358974358974359,0.40433925049309666,0.4321265464166342,"{'C': 0.5, 'class_weight': 'balanced', 'kernel': 'linear'}"
full,xgboost,320,0.41025641025641024,0.41566450817144623,0.46113128151959604,"{'grow_policy': 'depthwise', 'learning_rate': 1, 'n_estimators': 25}"
full,knn,320,0.3076923076923077,0.3338557993730407,0.4686268857766236,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'distance'}"
full,rf,320,0.5384615384615384,0.4380704041720991,0.4555162664862042,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 400}"
